File,registro,fecha,Unidad,proyecto,Solicitante,cantidad-solicitada,cantidad-subvencionada,Paises,Puntos-a,puntos-b,puntos-c,puntos-d
2007-3.csv,07-CAP3-1014,01/10/0007,D RELACIONES CULTURALES Y CIENTÍFICAS,Red Internacional sobre Desarrollo y Cultura en Iberoamérica y el Caribe,UNIVERSIDAD TECNOLÓGICA DE BOLÍVAR,136990,105230,Iberoamérica y Caribe: Colombia,2.5,2,1.5,2
2007-3.csv,07-CAP3-1017,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Sahel: nuestra ribera,Argonauta Producciones S.L.,719100,64810,África Subsahariana: Senegal,2.5,1.5,2,2
2007-3.csv,07-CAP3-1024,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Impacto del cambio climático sobre la biodiversidad en los países del Sureste Europeo (SEE),ECNC-European Centre for Nature Conservation,144675,144675,PECO y CEI: Albania ; Bosnia-Herzegovina ; Serbia ; U.E y Países Occidentales: Turquía,3,2,2,1
2007-3.csv,07-CAP3-1025,01/10/0007,GABINETE TÉCNICO,Potenciación de los sistemas de coordinación de la Cooperación Descentralizada y la sociedad civil española mediante el fortalecimiento de cauces de participación del Grupo de Coordinadoras Autonómica,FEDERACIÓN CATALANA DE ONGD,59900,59900,Sin Determinar. General: España,2,1.5,2,2
2007-3.csv,07-CAP3-1028,11/04/0007,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Rehabilitación del Centro Infantil de laulane,Obra Misionera de Jesus y maria,16848,16848,África Subsahariana: Mozambique,3,1,2,2
2007-3.csv,07-CAP3-1030,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,"Solicitud de apoyo, promoción de artistas españoles en el marco del año de España en China",José Martínez Calvo y Luis Antonio Valverde Espejo,37022,18000,Asia Pacífico: China,2,2,2,1.5
2007-3.csv,07-CAP3-1031,0028/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,"Difusión y promoción de la cultura española en el exterior, a través del envío de fondos bibliográficos (biblioteca básica y elemental)","Lecturedes, s.l.",59995,59995,Sin Determinar. General: España,2,1.5,2,2.5
2007-3.csv,07-CAP3-1033,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Apoyo al desarrollo de las actividades del Observatorio de Políticas Culturales en Africa ( OCPA),Observatorio de Políticas Culturales en Africa-OCPA,350000,300000,África Subsahariana: Mozambique,2,2,2,2
2007-3.csv,07-CAP3-1034,0028/9/7,GABINETE TÉCNICO,Programa de Acción Humanitaria contra las minas y artefactos explosivos DR Congo 07-08,DanChurchAid,555000,555000,África Subsahariana: Congo (República del Congo),2,1.5,2,2
2007-3.csv,07-CAP3-1036,0028/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Assilah 2007...Ciudad de las Artes,FONDATION FORUM ASSILAH,59700,59700,Magreb y Oriente Medio: Marruecos,2,2,2,2
2007-3.csv,07-CAP3-1037,01/10/0007,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",CONSTRUCCIÓN DE TRES ESCUELAS PARA COBERTURA DE PLAZAS DE EDUCACIÓN PRIMARIA.,Ayuntamiento de Elche,79075,79075,África Subsahariana: Guinea_Bissau,2,2,2,3
2007-3.csv,07-CAP3-1038,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,CURSO DE ESPAÑOL E INTERCAMBIO CULTURAL PARA ALUMNOS DE LA UNIVERSITY OF THE WITWATERSRAND (JOHANESBURGO),Fundación Sierra-Pambley,35595,35595,África Subsahariana: República Sudafricana ; Sin Determinar. General: España,3,2,2,1.5
2007-3.csv,07-CAP3-1039,0028/9/7,"D COOPERACIÓN ÁFRICA,ASIA,EUROPA ORIENTAL",Rehabilitación tradicional y puesta en funcionamiento del pozo histórico de agua de Sababou Bangou (Tombouctou),Restauradores sin Fronteras (A-RSF),57100,57100,África Subsahariana: Mali,3,2,2,2
2007-3.csv,07-CAP3-1040,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,Promoción de artistas españoles por motivo de las conmemoraciones del año de España en China,Dolores de Sierra Gallery,18000,18000,Asia Pacífico: China,2,2,2,1.5
2007-3.csv,07-CAP3-1042,0027/9/7,D RELACIONES CULTURALES Y CIENTÍFICAS,"PROYECTO TILBES (PRESA DE BIRECIK, URFA, SURESTE DE TURQUIA)",JESUS GIL FUENSANTA,17600,17600,U.E y Países Occidentales: Turquía,2.5,1.5,1.5,2.3
